1 arise  arose  arisen
2 Awake  Awoke  Awoken
3 Be  Was/were  Been
4 Bear  Bore  Born
5 Beat 	Beat 	Beaten
6 Become 	Became 	Become
7 Begin 	Began 	Begun
8 Bend 	Bent 	Bent
9 Bet 	Bet 	Bet
10 Bind 	Bound 	Bound
11 Bite 	Bit 	Bitten
12 Bleed 	Bled 	Bled
13 Blow 	Blew 	Blown
14 Break 	Broke 	Broken
15 Breed 	Bred 	Bred
16 Bring 	Brought 	Brought
17 Build 	Built 	Built
18 Buy 	Bought 	Bought
19 Catch 	Caught 	Caught
20 Choose 	Chose 	Chosen
21 Cling 	Clung 	Clung
22 Come 	Came 	Come
23 Cost 	Cost 	Cost
24 Cut 	Cut 	Cut
25 Deal 	Dealt 	Dealt
26 Dig 	Dug 	Dug
27 Do 	Did 	Done
28 Draw 	Drew 	Drawn
29 Drink 	Drank 	Drunk
30 Drive 	Drove 	Driven
31 Eat 	Ate 	Eaten
32 Fall 	Fell 	Fallen
33 Feed 	Fed 	Fed
34 Feel 	Felt 	Felt
35 Fight 	Fought 	Fought
36 Find 	Found 	Found
37 Flee 	Fled 	Fled
38 Fly 	Flew 	Flown
39 Forbid 	Forbade 	Forbidden
40 Forget 	Forgot 	Forgotten
41 Forgive 	Forgave 	Forgiven
42 Freeze 	Froze 	Frozen
43 Get 	Got 	Got
44 Give 	Gave 	Given
45 Go 	Went 	Gone
46 Grow 	Grew 	Grown
47 Hang 	Hung 	Hung
48 Have/has 	Had 	Had
49 Hear 	Heard 	Heard
50 Hide 	Hid 	Hidden
51 Hit 	Hit 	Hit
52 Hold 	Held 	Held
53 Hurt 	Hurt 	Hurt
54 Keep 	Kept 	Kept
55 Know 	Knew 	Known
56 Lay 	Laid 	Laid
57 Lead 	Led 	Led
58 Learn 	Learnt 	Learnt
59 Leave 	Left 	Left
60 Lend 	Lent 	Lent
61 Let 	Let 	Let
62 Lie 	Lay 	Lain
63 Light 	Lit 	Lit
64 Lose 	Lost 	Lost
65 Make 	Made 	Made
66 Mean 	Meant 	Meant
67 Meet 	Met 	Met
68 Pay 	Paid 	Paid
69 Put 	Put 	Put
70 Read 	Read 	Read
71 Ride 	Rode 	Ridden
72 Ring 	Rang 	Rung
73 Rise 	Rose 	Risen
74 Run 	Ran 	Run
75 Say 	Said 	Said
76 See 	Saw 	Seen
77 Seek 	Sought 	Sought
78 Sell 	Sold 	Sold
79 Send 	Sent 	Sent
80 Set 	Set 	Set
81 Shake 	Shook 	Shaken
82 Shine 	Shone 	Shone
83 Shoot 	Shot 	Shot
84 Show 	Showed 	Shown
85 Shrink 	Shrank 	Shrunk
86 Shut 	Shut 	Shut
87 Sing 	Sang 	Sung
88 Sit 	Sat 	Sat
89 Sleep 	Slept 	Slept
90 Slide 	Slid 	Slid
91 Smell 	Smelt 	Smelt
92 Speak 	Spoke 	Spoken
93 Speed 	Sped  	Sped
94 Spell 	Spelt 	Spelt
95 Spend 	Spent 	Spent
96 Spill 	Spilt 	Spilt
97 Spin 	Spun 	Spun
98 Split 	Split 	Split
99 Spoil 	Spoilt 	Spoilt
100 Spread 	Spread 	Spread
101 Stand 	Stood 	Stood
102 Steal 	Stole 	Stolen
103 Sting 	Stung 	Stung
104 Stink 	Stank 	Stunk
105 Strike 	Struck 	Struck
106 Swear 	Swore 	Sworn
107 Sweep 	Swept 	Swept
108 Swell 	Swelled 	Swollen
109 Swim 	Swam 	Swum
110 Take 	Took 	Taken
111 Teach 	Taught 	Taught
112 Tear 	Tore 	Torn
113 Tell 	Told 	Told
114 Think 	Thought 	Thought
115 Throw 	Threw 	Thrown
116 Understand 	Understood 	Understood
117 Wake 	Woke 	Woken
118 Wear 	Wore 	Worn
119 Win 	Won 	Won
120 Wind 	Wound 	Wound
121 Write 	Wrote 	Written
